Filename,Category,Confidence,Timestamp,Bbox,Datetime
IMAG0063.JPG,animal,0.512,2025:12:09 16:19:02,"[174.681396484375, 1218.5135498046875, 328.85821533203125, 1336.4844970703125]",2025-12-09 16:19:02
IMAG2112.JPG,animal,0.709,2026:01:09 23:53:29,"[1641.211669921875, 852.5123901367188, 1832.7386474609375, 1122.7254638671875]",2026-01-09 23:53:29
IMAG2106.JPG,Empty,0.0,2026:01:09 19:51:31,,2026-01-09 19:51:31
IMAG0077.JPG,animal,0.584,2025:12:09 22:44:20,"[1331.705322265625, 1030.2723388671875, 1611.81103515625, 1130.830810546875]",2025-12-09 22:44:20
IMAG1369.JPG,animal,0.934,2026:01:01 22:51:01,"[0.24567870795726776, 710.58447265625, 421.4237365722656, 1308.9298095703125]",2026-01-01 22:51:01
IMAG1341.JPG,Empty,0.0,2026:01:01 16:59:45,,2026-01-01 16:59:45
IMAG1427.JPG,Empty,0.0,2026:01:02 13:41:02,,2026-01-02 13:41:02
IMAG1433.JPG,Empty,0.0,2026:01:02 15:07:09,,2026-01-02 15:07:09
IMAG1355.JPG,animal,0.359,2026:01:01 19:23:01,"[116.29804992675781, 901.3507690429688, 248.880615234375, 992.2996215820312]",2026-01-01 19:23:01
IMAG1382.JPG,Empty,0.0,2026:01:02 01:50:34,,2026-01-02 01:50:34
IMAG1396.JPG,animal,0.86,2026:01:02 07:30:54,"[1387.2548828125, 56.611328125, 2047.8896484375, 1308.93359375]",2026-01-02 07:30:54
IMAG0088.JPG,animal,0.898,2025:12:10 02:58:54,"[262.26092529296875, 1054.8134765625, 1049.109130859375, 1369.982666015625]",2025-12-10 02:58:54
IMAG1619.JPG,animal,0.386,2026:01:04 13:00:24,"[1607.386962890625, 391.850830078125, 1651.0947265625, 431.27337646484375]",2026-01-04 13:00:24
IMAG2310.JPG,animal,0.935,2026:01:13 07:48:27,"[1704.001220703125, 814.80908203125, 2048.0, 1139.8594970703125]",2026-01-13 07:48:27
IMAG2462.JPG,animal,0.964,2026:01:17 06:16:31,"[0.0, 0.14199218153953552, 665.1586303710938, 1469.7249755859375]",2026-01-17 06:16:31
IMAG2304.JPG,animal,0.978,2026:01:13 04:30:59,"[0.0, 291.5023498535156, 1529.767822265625, 1472.262939453125]",2026-01-13 04:30:59
IMAG1625.JPG,Empty,0.0,2026:01:04 14:14:42,,2026-01-04 14:14:42
IMAG1631.JPG,Empty,0.0,2026:01:04 15:40:58,,2026-01-04 15:40:58
IMAG2338.JPG,Empty,0.0,2026:01:13 17:57:47,,2026-01-13 17:57:47
IMAG1802.JPG,Empty,0.0,2026:01:06 19:25:14,,2026-01-06 19:25:14
IMAG1816.JPG,Empty,0.0,2026:01:07 00:15:22,,2026-01-07 00:15:22
IMAG2264.JPG,Empty,0.0,2026:01:12 07:19:06,,2026-01-12 07:19:06
IMAG2270.JPG,Empty,0.0,2026:01:12 08:56:07,,2026-01-12 08:56:07
IMAG1779.JPG,animal,0.942,2026:01:06 15:25:33,"[965.5838012695312, 1107.087890625, 1300.993896484375, 1471.30859375]",2026-01-06 15:25:33
IMAG2258.JPG,animal,0.7,2026:01:12 04:15:40,"[1650.579345703125, 842.0263671875, 2048.0, 1106.112548828125]",2026-01-12 04:15:40
IMAG1751.JPG,animal,0.836,2026:01:06 09:24:26,"[1213.40625, 994.8250122070312, 1530.534423828125, 1146.3404541015625]",2026-01-06 09:24:26
IMAG1751.JPG,animal,0.804,2026:01:06 09:24:26,"[1083.072509765625, 1345.3651123046875, 1218.720458984375, 1475.7686767578125]",2026-01-06 09:24:26
IMAG1751.JPG,animal,0.555,2026:01:06 09:24:26,"[989.6453247070312, 1213.385009765625, 1127.1650390625, 1312.0206298828125]",2026-01-06 09:24:26
IMAG1751.JPG,animal,0.319,2026:01:06 09:24:26,"[1619.4068603515625, 418.0958557128906, 1693.4576416015625, 474.74359130859375]",2026-01-06 09:24:26
IMAG1989.JPG,animal,0.986,2026:01:08 13:59:27,"[0.21435546875, 361.1871643066406, 1272.6405029296875, 1468.4251708984375]",2026-01-08 13:59:27
IMAG1745.JPG,Empty,0.0,2026:01:06 08:20:05,,2026-01-06 08:20:05
IMAG1976.JPG,Empty,0.0,2026:01:08 10:44:55,,2026-01-08 10:44:55
IMAG1962.JPG,animal,0.717,2026:01:08 08:04:07,"[1599.203369140625, 0.04704589769244194, 2047.9837646484375, 753.6740112304688]",2026-01-08 08:04:07
IMAG1962.JPG,animal,0.595,2026:01:08 08:04:07,"[728.4197387695312, 1069.0103759765625, 799.0914916992188, 1176.306640625]",2026-01-08 08:04:07
IMAG1792.JPG,animal,0.948,2026:01:06 17:37:19,"[0.5968261957168579, 225.5107421875, 1550.5648193359375, 1472.1810302734375]",2026-01-06 17:37:19
IMAG1786.JPG,animal,0.958,2026:01:06 16:36:44,"[441.35943603515625, 778.5642700195312, 829.2179565429688, 1136.192138671875]",2026-01-06 16:36:44
IMAG1786.JPG,animal,0.937,2026:01:06 16:36:44,"[1307.8875732421875, 790.6845703125, 1517.41552734375, 1146.0299072265625]",2026-01-06 16:36:44
IMAG0117.JPG,Empty,0.0,2025:12:10 11:36:27,,2025-12-10 11:36:27
IMAG2066.JPG,Empty,0.0,2026:01:09 08:55:35,,2026-01-09 08:55:35
IMAG2072.JPG,Empty,0.0,2026:01:09 11:02:44,,2026-01-09 11:02:44
IMAG0103.JPG,Empty,0.0,2025:12:10 08:38:23,,2025-12-10 08:38:23
IMAG1553.JPG,animal,0.726,2026:01:03 20:37:36,"[18.972692489624023, 1227.87939453125, 137.10671997070312, 1432.450439453125]",2026-01-03 20:37:36
IMAG1553.JPG,animal,0.344,2026:01:03 20:37:36,"[803.06201171875, 245.2236785888672, 1013.84716796875, 379.146484375]",2026-01-03 20:37:36
IMAG1547.JPG,animal,0.964,2026:01:03 19:19:56,"[0.0032226562034338713, 347.70123291015625, 588.54443359375, 1397.662353515625]",2026-01-03 19:19:56
IMAG2099.JPG,animal,0.921,2026:01:09 18:04:25,"[920.2763671875, 864.6110229492188, 1166.6181640625, 1060.221435546875]",2026-01-09 18:04:25
IMAG1590.JPG,animal,0.983,2026:01:04 06:54:33,"[0.16586914658546448, 0.0, 1160.2349853515625, 1461.025634765625]",2026-01-04 06:54:33
IMAG1584.JPG,Empty,0.0,2026:01:04 04:00:20,,2026-01-04 04:00:20
IMAG1585.JPG,Empty,0.0,2026:01:04 04:10:43,,2026-01-04 04:10:43
IMAG1591.JPG,animal,0.582,2026:01:04 07:17:11,"[831.3111572265625, 1293.431884765625, 1027.299560546875, 1441.894287109375]",2026-01-04 07:17:11
IMAG2098.JPG,animal,0.952,2026:01:09 17:53:06,"[199.33642578125, 829.5123291015625, 629.724609375, 1165.0673828125]",2026-01-09 17:53:06
IMAG1546.JPG,animal,0.296,2026:01:03 19:02:41,"[1124.835693359375, 685.1890869140625, 1191.502197265625, 781.1090698242188]",2026-01-03 19:02:41
IMAG1552.JPG,Empty,0.0,2026:01:03 20:26:47,,2026-01-03 20:26:47
IMAG2073.JPG,animal,0.894,2026:01:09 11:18:28,"[326.10406494140625, 359.78240966796875, 554.2958374023438, 537.5213012695312]",2026-01-09 11:18:28
IMAG0102.JPG,animal,0.95,2025:12:10 08:21:46,"[780.2175903320312, 763.8480834960938, 1006.1656494140625, 1126.1214599609375]",2025-12-10 08:21:46
IMAG0116.JPG,Empty,0.0,2025:12:10 11:25:52,,2025-12-10 11:25:52
